6,000000
4,752217
3,021189
3,181699
3,919249
3,301223
2,753136
4,138645
5,666119
4,789611
2,824600
2,549115
3,336331
2,924756
2,101626
3,095261
4,825217
4,417223
2,382651
1,685984
2,468181
2,348614
1,403681
2,012412
3,871383
4,008164
2,087966
1,026415
1,746691
1,972093
1,060806
1,318274
3,216863
3,921796
2,279084
0,921720
1,502259
2,064941
1,308398
1,249788
3,069865
4,293258
3,040628
1,450003
1,787292
2,609597
2,075659
1,728156
3,329081
4,951580
4,143761
2,375740
2,356970
3,307153
3,015257
2,407995
3,653089
5,512773
5,161219
3,281569
2,817113
3,744063
3,687089
2,872321
3,664753
5,595960
5,693559
3,798400
2,855337
3,626292
3,794229
2,864131
3,175095
5,041435
5,580956
3,805180
2,425081
2,949559
3,339914
2,425194
2,300272
4,008150
4,982928
3,486937
1,778565
2,009821
2,618508
1,864845
1,405290
2,895377
4,282117
3,219327
1,329530
1,247395
2,046162
1,577069
0,905328
2,131547
3,866589
3,345276
1,422175
1,011095
1,926406
1,809195
1,035542
1,947510
3,912833
3,969814
2,135522
1,373472
2,282081
2,512761
1,718167
2,260137
4,290958
4,889052
3,232898
2,099631
2,847531
3,361032
2,601566
2,730412
4,644843
5,694068
4,285259
2,786183
3,224992
3,924249
3,249834
2,962605
4,601760
5,992359
4,899984
3,091768
3,116896
3,905190
3,377526
2,732275
3,993239
5,623459
4,927902
2,929573
2,503121
3,303570
2,998959
2,114989
2,962524
4,748331
4,533637
2,513787
1,662944
2,417433
2,409466
1,443519
1,897381
3,762496
4,090942
2,234072
1,028411
1,680618
2,010101
1,117641
1,224850
3,081298
3,962628
2,428705
0,950291
1,426937
2,074875
1,373489
1,181956
2,916986
4,289221
3,184080
1,506910
1,712461
2,591609
2,142303
1,690032
3,171673
4,905348
4,273692
2,462352
2,294595
3,266054
3,078552
2,402522
3,505145
5,431086
5,271777
3,397150
2,778684
3,687217
3,742654
2,899300
3,538509
5,487225
5,779024
3,938294
2,849052
3,561254
3,836984
2,918764
3,078589
4,913684
5,634983
3,960058
2,454136
2,882619
3,363934
2,498110
2,236447
3,868278
4,999139
3,643782
1,841229
1,946016
2,618304
1,943895
1,372879
2,749790
4,255965
3,363932
1,420758
1,191659
2,018865
1,650182
0,900836
1,987485
3,797578
3,465237
1,535762
0,969530
1,873708
1,867094
1,055156
1,813913
3,805881
4,056732
2,265607
1,353656
2,210812
2,550382
1,758571
2,147174
4,156055
4,939106
3,374107
2,109440
2,768419
3,377197
2,659347
2,647587
4,494994
5,706966
4,431632
2,831470
3,150056
3,920077
3,320078
2,916207
4,450076
5,969514
5,043607
3,174000
3,056622
3,882327
3,452698
2,723400
3,850455
5,566578
5,058375
3,044613
2,464644
3,263348
3,069066
2,139157
2,835941
4,659254
4,639083
2,652504
1,649873
2,361408
2,463789
1,492114
1,791419
3,644316
4,160364
2,384540
1,042036
1,612079
2,039886
1,180508
1,142559
2,939949
3,988661
2,578977
0,991177
1,352316
2,075771
1,441457
1,126309
2,762152
4,270000
3,324269
1,575751
1,641566
2,564721
2,208538
1,664072
3,016151
4,844639
4,396569
2,559464
2,239167
3,217148
3,138332
2,408168
3,362646
5,336683
5,371937
3,520858
2,749726
3,624527
3,792083
2,935463
3,420723
5,368460
5,851482
4,083190
2,854044
3,493041
3,871715
2,979955
2,992782
4,779299
5,674346
4,116311
2,495376
2,815636
3,378944
2,574524
2,184624
3,725596
5,000116
3,798150
1,915972
1,885467
2,609085
2,023216
1,352734
2,605318
4,215124
3,502281
1,522907
1,142322
1,983511
1,720456
0,907825
1,848232
3,715477
3,575522
1,658120
0,937044
1,814776
1,919436
1,084506
1,688285
